word,count,percentage
the,856,0.060362456808405615
a,706,0.04978492348917566
in,580,0.0408997955010225
to,361,0.02545659685494676
and,343,0.024187292856639165
its,339,0.0239052253014597
us,277,0.019533178196177985
new,250,0.017629222198716592
on,221,0.015584232423665467
said,218,0.015372681757280869
united,217,0.015302164868486002
of,209,0.014738029758127071
company,194,0.013680276426204075
friday,179,0.01262252309428108
that,175,0.012340455539101614
it,163,0.011494252873563218
buy,158,0.011141668429588886
for,143,0.010083915097665892
s,135,0.00951977998730696
record,121,0.00853254354417883
deal,110,0.007756857767435301
would,104,0.007333756434666103
cut,101,0.007122205768281503
will,100,0.007051688879486637
main,97,0.006840138213102038
million,93,0.006558070657922572
is,92,0.006487553769127706
ashland,90,0.006346519991537973
be,84,0.005923418658768775
as,84,0.005923418658768775
states,82,0.005782384881179043
developmental,80,0.00564135110358931
business,79,0.005570834214794443
popular,76,0.005359283548409844
willingham,74,0.005218249770820111
percent,74,0.005218249770820111
largest,72,0.0050772159932303785
york,71,0.005006699104435512
dollar,71,0.005006699104435512
quarter,70,0.004936182215640646
arthritis,68,0.004795148438050913
unit,68,0.004795148438050913
airlines,65,0.004583597771666314
government,63,0.0044425639940765815
economy,63,0.0044425639940765815
thursday,63,0.0044425639940765815
sell,62,0.004372047105281715
celebrex,62,0.004372047105281715
november,61,0.004301530216486849
with,59,0.004160496438897116
u,58,0.00408997955010225
second,57,0.0040194626613073835
has,54,0.003807911994922784
auto,54,0.003807911994922784
esb,52,0.0036668782173330514
after,52,0.0036668782173330514
third,50,0.0035258444397433183
stock,48,0.0033848106621535857
rose,48,0.0033848106621535857
year,47,0.0033142937733587194
contract,47,0.0033142937733587194
been,46,0.003243776884563853
drug,46,0.003243776884563853
jobs,45,0.0031732599957689867
low,43,0.003032226218179254
food,43,0.003032226218179254
high,42,0.0029617093293843877
acquire,41,0.0028911924405895214
had,41,0.0028911924405895214
giant,40,0.002820675551794655
jersey,39,0.0027501586629997883
have,38,0.002679641774204922
affect,38,0.002679641774204922
sharp,38,0.002679641774204922
was,38,0.002679641774204922
additions,37,0.0026091248854100556
pilots,36,0.0025386079966151893
about,36,0.0025386079966151893
talks,36,0.0025386079966151893
oil,36,0.0025386079966151893
work,35,0.002468091107820323
billion,34,0.0023975742190254566
move,34,0.0023975742190254566
unfavorable,33,0.0023270573302305903
production,33,0.0023270573302305903
court,32,0.002256540441435724
first,31,0.0021860235526408576
reuters,31,0.0021860235526408576
heart,30,0.0021155066638459913
filed,30,0.0021155066638459913
other,29,0.002044989775051125
he,29,0.002044989775051125
day,29,0.002044989775051125
based,28,0.001974472886256258
could,27,0.001903955997461392
an,27,0.001903955997461392
agreed,27,0.001903955997461392
yesterday,27,0.001903955997461392
straight,27,0.001903955997461392
commissioner,25,0.0017629222198716592
administrator,25,0.0017629222198716592
levein,25,0.0017629222198716592
bank,25,0.0017629222198716592
fourth,25,0.0017629222198716592
trade,24,0.0016924053310767928
maker,24,0.0016924053310767928
loss,23,0.0016218884422819265
federal,23,0.0016218884422819265
corrado,22,0.0015513715534870602
ago,22,0.0015513715534870602
against,22,0.0015513715534870602
not,22,0.0015513715534870602
restructuring,22,0.0015513715534870602
prices,22,0.0015513715534870602
drugs,22,0.0015513715534870602
recommend,21,0.0014808546646921938
hardcourt,21,0.0014808546646921938
