word,count,percentage
the,2492,0.07480114062734504
a,1859,0.05580069037970884
new,1073,0.03220771424283356
to,970,0.029116013807594175
and,951,0.028545700135074292
of,785,0.023562959627795286
in,701,0.02104157286507579
internet,658,0.01975086297463605
that,611,0.018340087047876333
year,549,0.016479063484916703
for,509,0.015278403121716945
search,503,0.01509830406723698
its,493,0.014798138976437041
world,486,0.014588023412877082
be,486,0.014588023412877082
company,458,0.013747561158637251
s,377,0.011316223923157736
has,372,0.011166141377757767
few,351,0.010535794687077892
it,323,0.009695332432838061
first,307,0.009215068287558158
after,300,0.009004952723998198
other,278,0.008344589524238331
said,277,0.008314573015158337
ago,271,0.008134473960678373
version,252,0.007564160288158487
is,251,0.007534143779078493
desktop,229,0.0068737805793186255
will,207,0.006213417379558757
species,204,0.006123367852318776
able,180,0.005402971634398919
study,178,0.005342938616238932
japan,177,0.005312922107158937
old,173,0.0051928560708389615
on,173,0.0051928560708389615
video,172,0.005162839561758967
could,172,0.005162839561758967
most,168,0.005042773525438991
engine,166,0.004982740507279004
been,161,0.004832657961879034
explorer,159,0.004772624943719045
york,158,0.004742608434639052
tool,149,0.004472459852919106
ashland,144,0.004322377307519136
friday,128,0.0038421131622392315
have,128,0.0038421131622392315
make,126,0.0037820801440792435
companies,124,0.0037220471259192555
security,124,0.0037220471259192555
an,122,0.0036620141077592675
time,122,0.0036620141077592675
wide,120,0.0036019810895992796
windows,119,0.003571964580519286
help,118,0.0035419480714392916
years,117,0.0035119315623592974
users,117,0.0035119315623592974
are,112,0.0033618490169593277
weeks,112,0.0033618490169593277
latest,112,0.0033618490169593277
developmental,110,0.0033018159987993397
people,108,0.0032417829806393518
web,107,0.0032117664715593575
service,107,0.0032117664715593575
they,104,0.003121716944319376
deal,104,0.003121716944319376
ipod,102,0.003061683926159388
agreed,101,0.0030316674170793936
would,101,0.0030316674170793936
allow,100,0.0030016509079994
software,99,0.0029716343989194057
move,96,0.0028815848716794235
buy,94,0.0028215518535194355
days,93,0.0027915353444394417
microsoft,92,0.0027615188353594475
browser,91,0.0027315023262794538
willingham,90,0.0027014858171994596
report,90,0.0027014858171994596
signed,90,0.0027014858171994596
moon,87,0.002611436289959478
esb,86,0.0025814197808794836
next,86,0.0025814197808794836
by,86,0.0025814197808794836
engines,84,0.0025213867627194957
day,81,0.002431337235479514
united,78,0.0023412877082395317
you,78,0.0023412877082395317
announced,76,0.0022812546900795438
google,75,0.0022512381809995496
computer,70,0.00210115563559958
with,69,0.0020711391265195857
game,66,0.001981089599279604
end,64,0.0019210565811196157
discovered,63,0.0018910400720396217
find,62,0.0018610235629596278
levein,59,0.0017709740357196458
powerful,59,0.0017709740357196458
expected,58,0.0017409575266396518
popular,58,0.0017409575266396518
largest,56,0.0016809245084796638
times,55,0.0016509079993996699
little,54,0.0016208914903196759
based,53,0.0015908749812396819
inc,51,0.001530841963079694
optimization,51,0.001530841963079694
begin,50,0.0015008254539997
america,49,0.0014708089449197057
operating,49,0.0014708089449197057
important,48,0.0014407924358397117
games,47,0.0014107759267597178
had,46,0.0013807594176797238
mobile,46,0.0013807594176797238
server,44,0.0013207263995197358
music,44,0.0013207263995197358
administrator,41,0.0012306768722797538
corp,41,0.0012306768722797538
additions,40,0.0012006603631997599
unfavorable,40,0.0012006603631997599
itunes,40,0.0012006603631997599
offering,40,0.0012006603631997599
reuters,40,0.0012006603631997599
computers,39,0.0011706438541197659
thursday,39,0.0011706438541197659
photo,38,0.0011406273450397719
them,38,0.0011406273450397719
round,38,0.0011406273450397719
negatively,35,0.00105057781779979
",",35,0.00105057781779979
giant,35,0.00105057781779979
launch,35,0.00105057781779979
commissioner,34,0.001020561308719796
application,34,0.001020561308719796
store,34,0.001020561308719796
experts,34,0.001020561308719796
agreement,34,0.001020561308719796
wireless,33,0.000990544799639802
developed,33,0.000990544799639802
site,33,0.000990544799639802
"a,new",33,0.000990544799639802
acquire,33,0.000990544799639802
electronics,32,0.0009605282905598079
sites,32,0.0009605282905598079
working,32,0.0009605282905598079
xp,31,0.0009305117814798139
nations,31,0.0009305117814798139
online,30,0.0009004952723998199
leading,30,0.0009004952723998199
corrado,29,0.0008704787633198259
toolbar,29,0.0008704787633198259
months,29,0.0008704787633198259
"a,year",28,0.0008404622542398319
's,28,0.0008404622542398319
launched,28,0.0008404622542398319
allows,28,0.0008404622542398319
azzurri,27,0.0008104457451598379
players,27,0.0008104457451598379
ever,27,0.0008104457451598379
who,27,0.0008104457451598379
wednesday,27,0.0008104457451598379
hardcourt,26,0.000780429236079844
recommend,26,0.000780429236079844
"the,company",26,0.000780429236079844
operator,26,0.000780429236079844
update,25,0.00075041272699985
systems,25,0.00075041272699985
"the,internet",24,0.0007203962179198559
more,24,0.0007203962179198559
intel,24,0.0007203962179198559
birkle,23,0.0006903797088398619
businesses,23,0.0006903797088398619
can,23,0.0006903797088398619
industry,23,0.0006903797088398619
dartmouth,22,0.0006603631997598679
phone,22,0.0006603631997598679
"the,world",22,0.0006603631997598679
ozolinsh,21,0.0006303466906798739
darold,21,0.0006303466906798739
e,21,0.0006303466906798739
states,21,0.0006303466906798739
provide,21,0.0006303466906798739
biggest,21,0.0006303466906798739
kingdom,21,0.0006303466906798739
generation,20,0.0006003301815998799
their,20,0.0006003301815998799
effort,20,0.0006003301815998799
",,",19,0.0005703136725198859
"a,few",19,0.0005703136725198859
half,19,0.0005703136725198859
mpaa,19,0.0005703136725198859
"and,a",19,0.0005703136725198859
player,18,0.000540297163439892
"and,other",18,0.000540297163439892
bid,18,0.000540297163439892
spyware,18,0.000540297163439892
ntt,18,0.000540297163439892
shipping,18,0.000540297163439892
laxness,17,0.000510280654359898
deirdre,17,0.000510280654359898
"and,the",17,0.000510280654359898
easier,17,0.000510280654359898
possible,17,0.000510280654359898
venture,17,0.000510280654359898
claimed,16,0.00048026414527990393
compiled,16,0.00048026414527990393
catapulted,16,0.00048026414527990393
nasa,16,0.00048026414527990393
market,16,0.00048026414527990393
beta,16,0.00048026414527990393
monkey,16,0.00048026414527990393
released,16,0.00048026414527990393
'flat',15,0.00045024763619990995
firewall,15,0.00045024763619990995
"the,first",15,0.00045024763619990995
console,15,0.00045024763619990995
"in,a",15,0.00045024763619990995
carrier,15,0.00045024763619990995
ie,15,0.00045024763619990995
bjorndalen,14,0.00042023112711991596
regretfully,14,0.00042023112711991596
than,14,0.00042023112711991596
do,14,0.00042023112711991596
selling,14,0.00042023112711991596
titan,14,0.00042023112711991596
illinois,14,0.00042023112711991596
riaa,14,0.00042023112711991596
yanked,13,0.000390214618039922
mockery,13,0.000390214618039922
use,13,0.000390214618039922
u,13,0.000390214618039922
nextel,13,0.000390214618039922
swapping,13,0.000390214618039922
offer,13,0.000390214618039922
"year,old",13,0.000390214618039922
"new,study",13,0.000390214618039922
maker,13,0.000390214618039922
amaroneck,12,0.00036019810895992794
",,,",12,0.00036019810895992794
"be,the",12,0.00036019810895992794
billion,12,0.00036019810895992794
"of,the",12,0.00036019810895992794
flaw,12,0.00036019810895992794
development,12,0.00036019810895992794
test,12,0.00036019810895992794
"in,japan",12,0.00036019810895992794
"to,be",12,0.00036019810895992794
"the,new",12,0.00036019810895992794
exuberant,11,0.00033018159987993395
gymnasts,11,0.00033018159987993395
riots,11,0.00033018159987993395
ashore,11,0.00033018159987993395
marginalized,11,0.00033018159987993395
"internet,explorer",11,0.00033018159987993395
msn,11,0.00033018159987993395
flaws,11,0.00033018159987993395
networks,11,0.00033018159987993395
system,11,0.00033018159987993395
firm,11,0.00033018159987993395
"of,its",11,0.00033018159987993395
own,11,0.00033018159987993395
open,11,0.00033018159987993395
clemens,10,0.00030016509079993996
bloom's,10,0.00030016509079993996
convey,10,0.00030016509079993996
clearly,10,0.00030016509079993996
south,10,0.00030016509079993996
dvd,10,0.00030016509079993996
pack,10,0.00030016509079993996
"new,version",10,0.00030016509079993996
"new,search",10,0.00030016509079993996
"company,s",10,0.00030016509079993996
"the,latest",10,0.00030016509079993996
"of,a",10,0.00030016509079993996
"for,its",10,0.00030016509079993996
"in,the",10,0.00030016509079993996
"new,species",10,0.00030016509079993996
not,10,0.00030016509079993996
nomars,9,0.000270148581719946
unwilling,9,0.000270148581719946
punchlines,9,0.000270148581719946
kameli,9,0.000270148581719946
uche,9,0.000270148581719946
path,9,0.000270148581719946
eleventh,9,0.000270148581719946
carpe,9,0.000270148581719946
say,9,0.000270148581719946
"year,ago",9,0.000270148581719946
"to,the",9,0.000270148581719946
begun,9,0.000270148581719946
libraries,9,0.000270148581719946
"internet,search",9,0.000270148581719946
release,9,0.000270148581719946
congressional,8,0.00024013207263995197
jensen,8,0.00024013207263995197
bings,8,0.00024013207263995197
malky,8,0.00024013207263995197
accuses,8,0.00024013207263995197
"its,windows",8,0.00024013207263995197
mails,8,0.00024013207263995197
"the,next",8,0.00024013207263995197
"for,a",8,0.00024013207263995197
mini,8,0.00024013207263995197
"company,said",8,0.00024013207263995197
"that,could",8,0.00024013207263995197
"version,in",8,0.00024013207263995197
mission,8,0.00024013207263995197
partnership,8,0.00024013207263995197
phones,8,0.00024013207263995197
million,8,0.00024013207263995197
"company,has",8,0.00024013207263995197
shave,7,0.00021011556355995798
alameda,7,0.00021011556355995798
overcame,7,0.00021011556355995798
hampden,7,0.00021011556355995798
"few,years",7,0.00021011556355995798
"that,the",7,0.00021011556355995798
"internet,and",7,0.00021011556355995798
"world,of",7,0.00021011556355995798
d,7,0.00021011556355995798
good,7,0.00021011556355995798
mail,7,0.00021011556355995798
"has,been",7,0.00021011556355995798
feature,7,0.00021011556355995798
"study,of",7,0.00021011556355995798
space,7,0.00021011556355995798
"search,engine",7,0.00021011556355995798
"few,days",7,0.00021011556355995798
"after,a",7,0.00021011556355995798
"new,report",7,0.00021011556355995798
hewlett,7,0.00021011556355995798
takeover,7,0.00021011556355995798
"world,s",7,0.00021011556355995798
us,7,0.00021011556355995798
spectrum,6,0.00018009905447996397
enhancing,6,0.00018009905447996397
july,6,0.00018009905447996397
cascaded,6,0.00018009905447996397
goleo,6,0.00018009905447996397
growled,6,0.00018009905447996397
philosophical,6,0.00018009905447996397
koubek,6,0.00018009905447996397
suite,6,0.00018009905447996397
shuttle,6,0.00018009905447996397
forums,6,0.00018009905447996397
"to,make",6,0.00018009905447996397
"search,tool",6,0.00018009905447996397
"it,has",6,0.00018009905447996397
"after,an",6,0.00018009905447996397
"for,the",6,0.00018009905447996397
"that,will",6,0.00018009905447996397
"microsoft,corp",6,0.00018009905447996397
commerce,6,0.00018009905447996397
"would,be",6,0.00018009905447996397
n,6,0.00018009905447996397
"has,announced",6,0.00018009905447996397
"they,have",6,0.00018009905447996397
"been,the",6,0.00018009905447996397
"species,of",6,0.00018009905447996397
"able,by",6,0.00018009905447996397
providers,6,0.00018009905447996397
"search,engines",6,0.00018009905447996397
contract,6,0.00018009905447996397
"be,a",6,0.00018009905447996397
planning,6,0.00018009905447996397
cisco,6,0.00018009905447996397
tremor,5,0.00015008254539996998
rear,5,0.00015008254539996998
lomana,5,0.00015008254539996998
deadlocked,5,0.00015008254539996998
ludovic,5,0.00015008254539996998
clough,5,0.00015008254539996998
at,5,0.00015008254539996998
cash,5,0.00015008254539996998
"the,united",5,0.00015008254539996998
"japan,the",5,0.00015008254539996998
provider,5,0.00015008254539996998
worm,5,0.00015008254539996998
"has,agreed",5,0.00015008254539996998
agency,5,0.00015008254539996998
"tool,for",5,0.00015008254539996998
communications,5,0.00015008254539996998
"species,to",5,0.00015008254539996998
"version,to",5,0.00015008254539996998
"will,be",5,0.00015008254539996998
ambitious,5,0.00015008254539996998
now,5,0.00015008254539996998
"year,after",5,0.00015008254539996998
"on,thursday",5,0.00015008254539996998
yahoo,5,0.00015008254539996998
"on,friday",5,0.00015008254539996998
alleging,4,0.00012006603631997598
confinement,4,0.00012006603631997598
ment,4,0.00012006603631997598
davis',4,0.00012006603631997598
punters,4,0.00012006603631997598
sued,4,0.00012006603631997598
winfield,4,0.00012006603631997598
peirsol,4,0.00012006603631997598
heraklio,4,0.00012006603631997598
bulldozer,4,0.00012006603631997598
dugouts,4,0.00012006603631997598
purists,4,0.00012006603631997598
availability,4,0.00012006603631997598
"new,york",4,0.00012006603631997598
bush,4,0.00012006603631997598
"to,a",4,0.00012006603631997598
"world,wide",4,0.00012006603631997598
"said,it",4,0.00012006603631997598
division,4,0.00012006603631997598
mozilla,4,0.00012006603631997598
"explorer,browser",4,0.00012006603631997598
"video,game",4,0.00012006603631997598
hire,4,0.00012006603631997598
found,4,0.00012006603631997598
"of,people",4,0.00012006603631997598
"allow,you",4,0.00012006603631997598
"the,most",4,0.00012006603631997598
"after,the",4,0.00012006603631997598
judge,4,0.00012006603631997598
"old,species",4,0.00012006603631997598
"its,desktop",4,0.00012006603631997598
"s,most",4,0.00012006603631997598
"would,begin",4,0.00012006603631997598
"desktop,search",4,0.00012006603631997598
take,4,0.00012006603631997598
"its,new",4,0.00012006603631997598
"most,powerful",4,0.00012006603631997598
"is,a",4,0.00012006603631997598
"will,allow",4,0.00012006603631997598
"could,allow",4,0.00012006603631997598
way,4,0.00012006603631997598
"has,signed",4,0.00012006603631997598
"it,would",4,0.00012006603631997598
step,4,0.00012006603631997598
peoplesoft,4,0.00012006603631997598
"an,agreement",4,0.00012006603631997598
"time,in",4,0.00012006603631997598
"species,in",4,0.00012006603631997598
he,4,0.00012006603631997598
federal,4,0.00012006603631997598
watered,3,9.004952723998198e-05
barnes,3,9.004952723998198e-05
failed,3,9.004952723998198e-05
rejoice,3,9.004952723998198e-05
ruud,3,9.004952723998198e-05
uri,3,9.004952723998198e-05
bonita,3,9.004952723998198e-05
game's,3,9.004952723998198e-05
promotes,3,9.004952723998198e-05
hague,3,9.004952723998198e-05
warnings,3,9.004952723998198e-05
"been,a",3,9.004952723998198e-05
"york,based",3,9.004952723998198e-05
"its,ipod",3,9.004952723998198e-05
"engine,google",3,9.004952723998198e-05
"service,for",3,9.004952723998198e-05
k,3,9.004952723998198e-05
court,3,9.004952723998198e-05
"japan,and",3,9.004952723998198e-05
"users,to",3,9.004952723998198e-05
"its,internet",3,9.004952723998198e-05
"ago,the",3,9.004952723998198e-05
"ago,that",3,9.004952723998198e-05
"engines,and",3,9.004952723998198e-05
"you,for",3,9.004952723998198e-05
augment,3,9.004952723998198e-05
"little,more",3,9.004952723998198e-05
"be,able",3,9.004952723998198e-05
"most,popular",3,9.004952723998198e-05
dupre,3,9.004952723998198e-05
"first,day",3,9.004952723998198e-05
"first,time",3,9.004952723998198e-05
"web,sites",3,9.004952723998198e-05
long,3,9.004952723998198e-05
"days,ago",3,9.004952723998198e-05
"computers,and",3,9.004952723998198e-05
"in,its",3,9.004952723998198e-05
"engine,that",3,9.004952723998198e-05
group,3,9.004952723998198e-05
"s,biggest",3,9.004952723998198e-05
computersand,3,9.004952723998198e-05
source,3,9.004952723998198e-05
protect,3,9.004952723998198e-05
veritas,3,9.004952723998198e-05
packard,3,9.004952723998198e-05
quot,3,9.004952723998198e-05
"have,been",3,9.004952723998198e-05
record,3,9.004952723998198e-05
used,3,9.004952723998198e-05
"that,they",3,9.004952723998198e-05
"that,it",3,9.004952723998198e-05
"the,year",3,9.004952723998198e-05
docomo,3,9.004952723998198e-05
"begin,offering",3,9.004952723998198e-05
likely,3,9.004952723998198e-05
