word,count,percentage
ashland,1723,0.08247570724235316
developmental,1369,0.06553061126801014
willingham,1171,0.056052845723038626
esb,886,0.04241060743860993
additions,644,0.030826671772533627
levein,573,0.02742807907711455
unfavorable,563,0.026949404049590734
administrator,526,0.02517830644775262
commissioner,480,0.022976401321143074
negatively,436,0.020870231200038294
hardcourt,381,0.018237518548657315
azzurri,365,0.017471638504619216
electronics,315,0.015078263367000144
corrado,298,0.014264515820209659
birkle,262,0.012541285721123929
recommend,261,0.012493418218371547
darold,255,0.012206213201857259
dartmouth,244,0.011679670671581063
deirdre,229,0.010961658130295343
mockery,198,0.009477765544971518
regretfully,195,0.009334163036714374
ozolinsh,190,0.009094825522952467
exuberant,187,0.008951223014695323
laxness,181,0.008664017998181036
catapulted,173,0.008281077976161984
compiled,170,0.00813747546790484
convey,167,0.007993872959647695
'flat',148,0.007084390407352448
claimed,140,0.006701450385333397
bloom's,138,0.0066057153798286345
clearly,135,0.00646211287157149
riots,130,0.006222775357809583
ashore,126,0.006031305346800057
yanked,119,0.005696232827533387
clemens,116,0.005552630319276244
bjorndalen,114,0.005456895313771481
amaroneck,113,0.005409027811019099
unwilling,108,0.005169690297257192
carpe,93,0.0044516777559714706
growled,92,0.00440381025321909
south,84,0.0040208702312000385
nomars,84,0.0040208702312000385
koubek,82,0.003925135225695276
deadlocked,81,0.003877267722942894
lomana,80,0.0038294002201905127
accuses,79,0.0037815327174381312
rear,79,0.0037815327174381312
malky,78,0.00373366521468575
july,76,0.003637930209180987
sued,74,0.003542195203676224
jensen,73,0.0034943277009238426
punters,73,0.0034943277009238426
gymnasts,72,0.0034464601981714616
",",72,0.0034464601981714616
uche,71,0.00339859269541908
congressional,69,0.0033028576899143173
ruud,64,0.00306352017615241
marginalized,63,0.0030156526734000286
punchlines,63,0.0030156526734000286
alameda,60,0.0028720501651428843
philosophical,60,0.0028720501651428843
dugouts,58,0.002776315159638122
spectrum,57,0.0027284476568857404
overcame,57,0.0027284476568857404
bings,57,0.0027284476568857404
watered,57,0.0027284476568857404
tremor,55,0.0026327126513809775
goleo,53,0.0025369776458762146
heraklio,49,0.002345507634866689
cascaded,49,0.002345507634866689
tails,48,0.0022976401321143074
alleging,47,0.002249772629361926
davis',46,0.002201905126609545
path,46,0.002201905126609545
kameli,44,0.002106170121104782
barnes,43,0.0020583026183524007
confinement,40,0.0019147001100952563
eleventh,40,0.0019147001100952563
charisteas,40,0.0019147001100952563
messing,39,0.001866832607342875
ludovic,39,0.001866832607342875
failed,39,0.001866832607342875
enhancing,39,0.001866832607342875
shave,38,0.0018189651045904935
bonita,37,0.001771097601838112
kimmel,36,0.0017232300990857308
sales's,36,0.0017232300990857308
clough,35,0.0016753625963333494
hampden,34,0.001627495093580968
papa,34,0.001627495093580968
",,",33,0.0015796275908285865
peirsol's,32,0.001531760088076205
ferraris,31,0.0014838925853238236
ment,31,0.0014838925853238236
samson,31,0.0014838925853238236
promotes,29,0.001388157579819061
overruns,28,0.0013402900770666795
game's,27,0.001292422574314298
hakim,26,0.0012445550715619166
"willingham,developmental",26,0.0012445550715619166
boynes,25,0.0011966875688095352
lives,25,0.0011966875688095352
preliminary,23,0.0011009525633047725
"ashland,additions",23,0.0011009525633047725
"willingham,ashland",22,0.001053085060552391
dimmer,22,0.001053085060552391
hatchell,22,0.001053085060552391
most,22,0.001053085060552391
rejoice,21,0.0010052175578000096
flagstaff,21,0.0010052175578000096
purists,21,0.0010052175578000096
snubs,21,0.0010052175578000096
squared,20,0.0009573500550476282
uri,20,0.0009573500550476282
knocks,20,0.0009573500550476282
the,20,0.0009573500550476282
milicic,19,0.0009094825522952467
winfield,19,0.0009094825522952467
socal,19,0.0009094825522952467
dagger,18,0.0008616150495428654
kanpur,18,0.0008616150495428654
radek,18,0.0008616150495428654
"esb,ashland",17,0.000813747546790484
nonchalance,17,0.000813747546790484
westwood,17,0.000813747546790484
constructed,17,0.000813747546790484
a,17,0.000813747546790484
"ashland,negatively",16,0.0007658800440381025
"developmental,corrado",16,0.0007658800440381025
initially,16,0.0007658800440381025
virtues,16,0.0007658800440381025
ante,16,0.0007658800440381025
anchored,16,0.0007658800440381025
peirsol,16,0.0007658800440381025
hague,16,0.0007658800440381025
irreplaceable,15,0.0007180125412857211
"willingham,administrator",15,0.0007180125412857211
",,,",15,0.0007180125412857211
evacuate,15,0.0007180125412857211
border,15,0.0007180125412857211
"ashland,levein",15,0.0007180125412857211
marcellus,15,0.0007180125412857211
"additions,hardcourt",14,0.0006701450385333397
issue,14,0.0006701450385333397
molson,14,0.0006701450385333397
mcingvale,14,0.0006701450385333397
forearm,14,0.0006701450385333397
underscores,14,0.0006701450385333397
intercepts,14,0.0006701450385333397
equalised,14,0.0006701450385333397
sundin,13,0.0006222775357809583
straying,13,0.0006222775357809583
mightily,13,0.0006222775357809583
and,13,0.0006222775357809583
"unfavorable,developmental",12,0.0005744100330285769
concluding,12,0.0005744100330285769
valero,12,0.0005744100330285769
cheese,11,0.0005265425302761955
premierleague,11,0.0005265425302761955
"additions,recommend",11,0.0005265425302761955
"developmental,bloom's",11,0.0005265425302761955
squeaky,11,0.0005265425302761955
ensures,11,0.0005265425302761955
wsu,10,0.0004786750275238141
vengeance,10,0.0004786750275238141
dormant,10,0.0004786750275238141
bulldozer,10,0.0004786750275238141
"developmental,commissioner",10,0.0004786750275238141
"developmental,levein",10,0.0004786750275238141
santonio,10,0.0004786750275238141
sprague,10,0.0004786750275238141
dog,10,0.0004786750275238141
kerney,10,0.0004786750275238141
bunt,10,0.0004786750275238141
knauss,10,0.0004786750275238141
indecision,10,0.0004786750275238141
capability,10,0.0004786750275238141
rauffer,10,0.0004786750275238141
"unfavorable,ashland",10,0.0004786750275238141
mancinis,9,0.0004308075247714327
learning,9,0.0004308075247714327
gnat,9,0.0004308075247714327
"corrado,regretfully",9,0.0004308075247714327
mateo,9,0.0004308075247714327
"esb,developmental",9,0.0004308075247714327
",,,,",9,0.0004308075247714327
katie,9,0.0004308075247714327
year,9,0.0004308075247714327
"administrator,ozolinsh",8,0.00038294002201905126
karam,8,0.00038294002201905126
bmw,8,0.00038294002201905126
leno,8,0.00038294002201905126
trader,8,0.00038294002201905126
"recommend,azzurri",8,0.00038294002201905126
barreras,8,0.00038294002201905126
epicenter,8,0.00038294002201905126
explaining,8,0.00038294002201905126
to,8,0.00038294002201905126
"developmental,deirdre",7,0.00033507251926666987
freeing,7,0.00033507251926666987
"levein,laxness",7,0.00033507251926666987
"negatively,hardcourt",7,0.00033507251926666987
judicious,7,0.00033507251926666987
counce,7,0.00033507251926666987
"negatively,convey",7,0.00033507251926666987
"administrator,additions",7,0.00033507251926666987
thickens,7,0.00033507251926666987
snakes,7,0.00033507251926666987
"unfavorable,kameli",7,0.00033507251926666987
garnering,7,0.00033507251926666987
of,7,0.00033507251926666987
tabloid,6,0.00028720501651428843
"bjorndalen,yanked",6,0.00028720501651428843
gospel,6,0.00028720501651428843
eldred,6,0.00028720501651428843
"administrator,negatively",6,0.00028720501651428843
redmond,6,0.00028720501651428843
"azzurri,developmental",6,0.00028720501651428843
"levein,riots",6,0.00028720501651428843
"hardcourt,willingham",6,0.00028720501651428843
eighteen,6,0.00028720501651428843
"electronics,ashland",6,0.00028720501651428843
"hardcourt,dartmouth",6,0.00028720501651428843
it,6,0.00028720501651428843
in,6,0.00028720501651428843
said,6,0.00028720501651428843
its,6,0.00028720501651428843
"darold,developmental",5,0.00023933751376190704
leicester,5,0.00023933751376190704
"unfavorable,tremor",5,0.00023933751376190704
"ashland,catapulted",5,0.00023933751376190704
killer,5,0.00023933751376190704
"developmental,koubek",5,0.00023933751376190704
models,5,0.00023933751376190704
exhibiting,5,0.00023933751376190704
"ashland,bjorndalen",5,0.00023933751376190704
lrchenhof,5,0.00023933751376190704
"commissioner,dartmouth",5,0.00023933751376190704
melo,5,0.00023933751376190704
guidelines,5,0.00023933751376190704
intersectional,5,0.00023933751376190704
"deirdre,'flat'",5,0.00023933751376190704
dying,5,0.00023933751376190704
iberville,5,0.00023933751376190704
"dartmouth,ashland",5,0.00023933751376190704
"dartmouth,watered",5,0.00023933751376190704
"additions,exuberant",5,0.00023933751376190704
"birkle,ashland",5,0.00023933751376190704
latter,5,0.00023933751376190704
beachball,5,0.00023933751376190704
"esb,clemens",5,0.00023933751376190704
"convey,unfavorable",5,0.00023933751376190704
wrigley,5,0.00023933751376190704
psg,5,0.00023933751376190704
ryan,5,0.00023933751376190704
thinking,5,0.00023933751376190704
"developmental,claimed",5,0.00023933751376190704
on,5,0.00023933751376190704
that,5,0.00023933751376190704
new,5,0.00023933751376190704
"compiled,electronics",4,0.00019147001100952563
banging,4,0.00019147001100952563
gives,4,0.00019147001100952563
"esb,gymnasts",4,0.00019147001100952563
",,,,,",4,0.00019147001100952563
fortuna,4,0.00019147001100952563
"levein,rejoice",4,0.00019147001100952563
"commissioner,darold",4,0.00019147001100952563
"ozolinsh,unfavorable",4,0.00019147001100952563
accountability,4,0.00019147001100952563
collision,4,0.00019147001100952563
"levein,marginalized",4,0.00019147001100952563
"compiled,willingham",4,0.00019147001100952563
upul,4,0.00019147001100952563
"ashland,failed",4,0.00019147001100952563
"darold,ashland",4,0.00019147001100952563
"developmental,compiled",4,0.00019147001100952563
slated,4,0.00019147001100952563
"commissioner,congressional",4,0.00019147001100952563
hearth,4,0.00019147001100952563
"uche,willingham",4,0.00019147001100952563
harvard,4,0.00019147001100952563
sitter,4,0.00019147001100952563
greenwalt,4,0.00019147001100952563
"recommend,willingham",4,0.00019147001100952563
"hardcourt,electronics",4,0.00019147001100952563
cleanup,4,0.00019147001100952563
"ashland,anchored",4,0.00019147001100952563
jrgen,4,0.00019147001100952563
minnesota,4,0.00019147001100952563
"regretfully,growled",4,0.00019147001100952563
"azzurri,administrator",4,0.00019147001100952563
"corrado,commissioner",4,0.00019147001100952563
medford's,4,0.00019147001100952563
old,4,0.00019147001100952563
world,4,0.00019147001100952563
has,4,0.00019147001100952563
for,4,0.00019147001100952563
main,4,0.00019147001100952563
united,4,0.00019147001100952563
airlines,4,0.00019147001100952563
business,4,0.00019147001100952563
"levein,alleging",3,0.00014360250825714422
"south,developmental",3,0.00014360250825714422
"ashland,eleventh",3,0.00014360250825714422
"congressional,philosophical",3,0.00014360250825714422
contradictions,3,0.00014360250825714422
feb,3,0.00014360250825714422
"riots,jensen",3,0.00014360250825714422
proximity,3,0.00014360250825714422
striding,3,0.00014360250825714422
"failed,constructed",3,0.00014360250825714422
"birkle,deadlocked",3,0.00014360250825714422
recurring,3,0.00014360250825714422
ing,3,0.00014360250825714422
"uche,game's",3,0.00014360250825714422
novara,3,0.00014360250825714422
"willingham,punters",3,0.00014360250825714422
"clemens,ashland",3,0.00014360250825714422
luckier,3,0.00014360250825714422
morella,3,0.00014360250825714422
"uche,esb",3,0.00014360250825714422
kylie,3,0.00014360250825714422
raynham,3,0.00014360250825714422
raymond,3,0.00014360250825714422
"dugouts,most",3,0.00014360250825714422
"commissioner,july",3,0.00014360250825714422
wakefield's,3,0.00014360250825714422
patted,3,0.00014360250825714422
sneijder,3,0.00014360250825714422
annie,3,0.00014360250825714422
"convey,azzurri",3,0.00014360250825714422
restocked,3,0.00014360250825714422
"negatively,bings",3,0.00014360250825714422
"levein,uche",3,0.00014360250825714422
corporal,3,0.00014360250825714422
"catapulted,davis'",3,0.00014360250825714422
"papa,compiled",3,0.00014360250825714422
"levein,ashore",3,0.00014360250825714422
swivel,3,0.00014360250825714422
"willingham,path",3,0.00014360250825714422
aura,3,0.00014360250825714422
"clemens,mockery",3,0.00014360250825714422
greta,3,0.00014360250825714422
"compiled,'flat'",3,0.00014360250825714422
"spectrum,darold",3,0.00014360250825714422
relegation,3,0.00014360250825714422
"esb,compiled",3,0.00014360250825714422
scams,3,0.00014360250825714422
virginia,3,0.00014360250825714422
"unwilling,compiled",3,0.00014360250825714422
jo,3,0.00014360250825714422
"azzurri,ashland",3,0.00014360250825714422
"gymnasts,ashland",3,0.00014360250825714422
"catapulted,charisteas",3,0.00014360250825714422
"deirdre,willingham",3,0.00014360250825714422
"unfavorable,bloom's",3,0.00014360250825714422
"claimed,commissioner",3,0.00014360250825714422
"jensen,south",3,0.00014360250825714422
savor,3,0.00014360250825714422
"dartmouth,nomars",3,0.00014360250825714422
"dartmouth,ruud",3,0.00014360250825714422
"peirsol's,darold",3,0.00014360250825714422
"amaroneck,willingham",3,0.00014360250825714422
with,3,0.00014360250825714422
"'flat',clearly",3,0.00014360250825714422
broncs,3,0.00014360250825714422
"malky,kimmel",3,0.00014360250825714422
"esb,unwilling",3,0.00014360250825714422
"mockery,ashland",3,0.00014360250825714422
little,3,0.00014360250825714422
companies,3,0.00014360250825714422
other,3,0.00014360250825714422
friday,3,0.00014360250825714422
deal,3,0.00014360250825714422
"darold,unwilling",2,9.573500550476281e-05
licensees,2,9.573500550476281e-05
",,,,,,",2,9.573500550476281e-05
"tails,willingham",2,9.573500550476281e-05
"watered,willingham",2,9.573500550476281e-05
narrowly,2,9.573500550476281e-05
lament,2,9.573500550476281e-05
"unfavorable,molson",2,9.573500550476281e-05
sol,2,9.573500550476281e-05
seeding,2,9.573500550476281e-05
boltons,2,9.573500550476281e-05
"esb,uri",2,9.573500550476281e-05
"messing,azzurri",2,9.573500550476281e-05
"clough,unfavorable",2,9.573500550476281e-05
"electronics,scams",2,9.573500550476281e-05
eyed,2,9.573500550476281e-05
fairfield,2,9.573500550476281e-05
lofton,2,9.573500550476281e-05
"electronics,punters",2,9.573500550476281e-05
"additions,yanked",2,9.573500550476281e-05
stated,2,9.573500550476281e-05
"nomars,electronics",2,9.573500550476281e-05
berard's,2,9.573500550476281e-05
"ashland,negatively,convey",2,9.573500550476281e-05
pot,2,9.573500550476281e-05
stoner,2,9.573500550476281e-05
"regretfully,amaroneck",2,9.573500550476281e-05
"clearly,hatchell",2,9.573500550476281e-05
"purists,esb",2,9.573500550476281e-05
"tails,unfavorable",2,9.573500550476281e-05
"claimed,regretfully",2,9.573500550476281e-05
"carpe,amaroneck",2,9.573500550476281e-05
bashed,2,9.573500550476281e-05
stabilized,2,9.573500550476281e-05
assassin,2,9.573500550476281e-05
"amaroneck,mockery",2,9.573500550476281e-05
"commissioner,azzurri",2,9.573500550476281e-05
volunteers',2,9.573500550476281e-05
arco,2,9.573500550476281e-05
"commissioner,malky",2,9.573500550476281e-05
"riots,punchlines",2,9.573500550476281e-05
vocal,2,9.573500550476281e-05
"growled,peirsol's",2,9.573500550476281e-05
patten,2,9.573500550476281e-05
"mockery,administrator",2,9.573500550476281e-05
"ashland,sued",2,9.573500550476281e-05
takeover,2,9.573500550476281e-05
outpitching,2,9.573500550476281e-05
"laxness,goleo",2,9.573500550476281e-05
sepang,2,9.573500550476281e-05
egos,2,9.573500550476281e-05
defar,2,9.573500550476281e-05
seth,2,9.573500550476281e-05
"negatively,recommend",2,9.573500550476281e-05
adoring,2,9.573500550476281e-05
"esb,winfield",2,9.573500550476281e-05
streamline,2,9.573500550476281e-05
"catapulted,purists",2,9.573500550476281e-05
"riots,evacuate",2,9.573500550476281e-05
reacquires,2,9.573500550476281e-05
"ruud,birkle",2,9.573500550476281e-05
nis,2,9.573500550476281e-05
"developmental,confinement",2,9.573500550476281e-05
forestland,2,9.573500550476281e-05
compromise,2,9.573500550476281e-05
eve,2,9.573500550476281e-05
